date,bitcoin,priceUsd_x,time_x,ethereum,priceUsd_y,time_y,tether,priceUsd,time,solana
2021-12-22 00:00:00+00:00,48729.62318505878,4005.2691982934233243,1640131200000.0,4005.2691982934234,1.0037497007813379,1640131200000.0,1.003749700781338,182.7681645214971279,1640131200000.0,182.7681645214971
2021-12-23 00:00:00+00:00,49194.607373874474,3999.2948147376653277,1640217600000.0,3999.2948147376646,1.0027572933079709,1640217600000.0,1.0027572933079707,182.6476084651839483,1640217600000.0,182.64760846518396
2021-12-24 00:00:00+00:00,51154.47927927289,4100.0322071078998980,1640304000000.0,4100.0322071079,1.0029136094539748,1640304000000.0,1.0029136094539748,190.9540006865992387,1640304000000.0,190.95400068659924
2021-12-25 00:00:00+00:00,50967.036682906575,4076.8805409428534691,1640390400000.0,4076.880540942853,1.0030171018187057,1640390400000.0,1.0030171018187055,192.5995573672647569,1640390400000.0,192.59955736726477
2021-12-26 00:00:00+00:00,50300.8116383416,4066.3597159163770894,1640476800000.0,4066.359715916377,1.0034209532856098,1640476800000.0,1.0034209532856098,196.5714253430125925,1640476800000.0,196.57142534301255
2021-12-27 00:00:00+00:00,51181.326188333085,4083.8023934138709988,1640563200000.0,4083.8023934138714,1.0027467941871821,1640563200000.0,1.002746794187182,200.3124406774542381,1640563200000.0,200.31244067745425
2021-12-28 00:00:00+00:00,48995.01452812034,3904.3492414008382282,1640649600000.0,3904.3492414008383,1.0030000085569851,1640649600000.0,1.0030000085569852,187.2650352131890393,1640649600000.0,187.26503521318904
2021-12-29 00:00:00+00:00,47675.10269082455,3781.9938589685712855,1640736000000.0,3781.993858968571,1.0024221628875814,1640736000000.0,1.0024221628875813,176.2397995183070228,1640736000000.0,176.23979951830702
2021-12-30 00:00:00+00:00,47162.14392246212,3709.5515037655463323,1640822400000.0,3709.5515037655455,1.0016217215430101,1640822400000.0,1.00162172154301,173.0718146167553762,1640822400000.0,173.07181461675535
2021-12-31 00:00:00+00:00,47316.30970018602,3740.0738175241265948,1640908800000.0,3740.073817524127,1.00067586044200894049,1640908800000.0,1.0006758604420087,172.9174844544422763,1640908800000.0,172.91748445444227
2022-01-01 00:00:00+00:00,47147.27555555679,3731.3124025920713848,1640995200000.0,3731.312402592071,1.0015200331479530,1640995200000.0,1.001520033147953,173.9832358456846826,1640995200000.0,173.98323584568467
2022-01-02 00:00:00+00:00,47346.93914697862,3777.2990406436707684,1641081600000.0,3777.299040643671,1.0024746332160605,1641081600000.0,1.0024746332160603,176.7581951572756409,1641081600000.0,176.75819515727565
2022-01-03 00:00:00+00:00,46919.99636273853,3796.7639579247987128,1641168000000.0,3796.7639579247993,1.0023594021822176,1641168000000.0,1.0023594021822175,172.8205956731174602,1641168000000.0,172.82059567311745
2022-01-04 00:00:00+00:00,46553.72821838849,3804.1824007925471392,1641254400000.0,3804.182400792547,1.0029800405739324,1641254400000.0,1.0029800405739324,169.7008071991342319,1641254400000.0,169.70080719913423
2022-01-05 00:00:00+00:00,45999.5097574606,3769.5732691664940699,1641340800000.0,3769.5732691664944,1.0018444269706352,1641340800000.0,1.0018444269706352,166.2872971112043601,1641340800000.0,166.28729711120437
